iso_code,year,iso_week,week_start,week_end,sCh,deaths,source,confidence_weight,disaggregation_method
SOM,1985,1,1984-12-31,1985-01-06,0.0,0.0,AI,0.8,zero_fill
SOM,1985,2,1985-01-07,1985-01-13,0.0,0.0,AI,0.8,zero_fill
SOM,1985,3,1985-01-14,1985-01-20,0.0,0.0,AI,0.8,zero_fill
SOM,1985,4,1985-01-21,1985-01-27,0.0,0.0,AI,0.8,zero_fill
SOM,1985,5,1985-01-28,1985-02-03,0.0,0.0,AI,0.8,zero_fill
SOM,1985,6,1985-02-04,1985-02-10,0.0,0.0,AI,0.8,zero_fill
SOM,1985,7,1985-02-11,1985-02-17,0.0,0.0,AI,0.8,zero_fill
SOM,1985,8,1985-02-18,1985-02-24,0.0,0.0,AI,0.8,zero_fill
SOM,1985,9,1985-02-25,1985-03-03,0.0,0.0,AI,0.8,zero_fill
SOM,1985,10,1985-03-04,1985-03-10,0.0,0.0,AI,0.8,zero_fill
SOM,1985,11,1985-03-11,1985-03-17,0.0,0.0,AI,0.8,zero_fill
SOM,1985,12,1985-03-18,1985-03-24,0.0,0.0,AI,0.8,zero_fill
SOM,1985,13,1985-03-25,1985-03-31,0.0,0.0,AI,0.8,zero_fill
SOM,1985,14,1985-04-01,1985-04-07,726.7589,194.4281,AI,0.63,fourier_country
SOM,1985,15,1985-04-08,1985-04-14,747.9978,200.1101,AI,0.63,fourier_country
SOM,1985,16,1985-04-15,1985-04-21,764.417,204.5027,AI,0.63,fourier_country
SOM,1985,17,1985-04-22,1985-04-28,775.1952,207.3862,AI,0.63,fourier_country
SOM,1985,18,1985-04-29,1985-05-05,779.631,208.5729,AI,0.63,fourier_country
SOM,1985,19,1985-05-06,1985-05-12,0.0,0.0,AI,0.8,zero_fill
SOM,1985,20,1985-05-13,1985-05-19,0.0,0.0,AI,0.8,zero_fill
SOM,1985,21,1985-05-20,1985-05-26,0.0,0.0,AI,0.8,zero_fill
SOM,1985,22,1985-05-27,1985-06-02,0.0,0.0,AI,0.8,zero_fill
SOM,1985,23,1985-06-03,1985-06-09,0.0,0.0,AI,0.8,zero_fill
SOM,1985,24,1985-06-10,1985-06-16,0.0,0.0,AI,0.8,zero_fill
SOM,1985,25,1985-06-17,1985-06-23,0.0,0.0,AI,0.8,zero_fill
SOM,1985,26,1985-06-24,1985-06-30,0.0,0.0,AI,0.8,zero_fill
SOM,1985,27,1985-07-01,1985-07-07,0.0,0.0,AI,0.8,zero_fill
SOM,1985,28,1985-07-08,1985-07-14,0.0,0.0,AI,0.8,zero_fill
SOM,1985,29,1985-07-15,1985-07-21,0.0,0.0,AI,0.8,zero_fill
SOM,1985,30,1985-07-22,1985-07-28,0.0,0.0,AI,0.8,zero_fill
SOM,1985,31,1985-07-29,1985-08-04,0.0,0.0,AI,0.8,zero_fill
SOM,1985,32,1985-08-05,1985-08-11,0.0,0.0,AI,0.8,zero_fill
SOM,1985,33,1985-08-12,1985-08-18,0.0,0.0,AI,0.8,zero_fill
SOM,1985,34,1985-08-19,1985-08-25,0.0,0.0,AI,0.8,zero_fill
SOM,1985,35,1985-08-26,1985-09-01,0.0,0.0,AI,0.8,zero_fill
SOM,1985,36,1985-09-02,1985-09-08,0.0,0.0,AI,0.8,zero_fill
SOM,1985,37,1985-09-09,1985-09-15,0.0,0.0,AI,0.8,zero_fill
SOM,1985,38,1985-09-16,1985-09-22,0.0,0.0,AI,0.8,zero_fill
SOM,1985,39,1985-09-23,1985-09-29,0.0,0.0,AI,0.8,zero_fill
SOM,1985,40,1985-09-30,1985-10-06,0.0,0.0,AI,0.8,zero_fill
SOM,1985,41,1985-10-07,1985-10-13,0.0,0.0,AI,0.8,zero_fill
SOM,1985,42,1985-10-14,1985-10-20,0.0,0.0,AI,0.8,zero_fill
SOM,1985,43,1985-10-21,1985-10-27,0.0,0.0,AI,0.8,zero_fill
SOM,1985,44,1985-10-28,1985-11-03,0.0,0.0,AI,0.8,zero_fill
SOM,1985,45,1985-11-04,1985-11-10,0.0,0.0,AI,0.8,zero_fill
SOM,1985,46,1985-11-11,1985-11-17,0.0,0.0,AI,0.8,zero_fill
SOM,1985,47,1985-11-18,1985-11-24,0.0,0.0,AI,0.8,zero_fill
SOM,1985,48,1985-11-25,1985-12-01,0.0,0.0,AI,0.8,zero_fill
SOM,1985,49,1985-12-02,1985-12-08,0.0,0.0,AI,0.8,zero_fill
SOM,1985,50,1985-12-09,1985-12-15,0.0,0.0,AI,0.8,zero_fill
SOM,1985,51,1985-12-16,1985-12-22,0.0,0.0,AI,0.8,zero_fill
SOM,1985,52,1985-12-23,1985-12-29,0.0,0.0,AI,0.8,zero_fill
SOM,1986,1,1985-12-30,1986-01-05,0.0,0.0,AI,0.8,zero_fill
SOM,1986,2,1986-01-06,1986-01-12,0.0,0.0,AI,0.8,zero_fill
SOM,1986,3,1986-01-13,1986-01-19,0.0,0.0,AI,0.8,zero_fill
SOM,1986,4,1986-01-20,1986-01-26,0.0,0.0,AI,0.8,zero_fill
SOM,1986,5,1986-01-27,1986-02-02,0.0,0.0,AI,0.8,zero_fill
SOM,1986,6,1986-02-03,1986-02-09,0.0,0.0,AI,0.8,zero_fill
SOM,1986,7,1986-02-10,1986-02-16,0.0,0.0,AI,0.8,zero_fill
SOM,1986,8,1986-02-17,1986-02-23,0.0,0.0,AI,0.8,zero_fill
SOM,1986,9,1986-02-24,1986-03-02,0.0,0.0,AI,0.8,zero_fill
SOM,1986,10,1986-03-03,1986-03-09,0.0,0.0,AI,0.8,zero_fill
