iso_code,year,iso_week,week_start,week_end,sCh,deaths,source,confidence_weight,disaggregation_method
AGO,1971,1,1971-01-04,1971-01-10,0.0119,,JHU,0.5,fourier_country_k2
AGO,1971,2,1971-01-11,1971-01-17,0.0123,,JHU,0.5,fourier_country_k2
AGO,1971,3,1971-01-18,1971-01-24,0.0132,,JHU,0.5,fourier_country_k2
AGO,1971,4,1971-01-25,1971-01-31,0.0146,,JHU,0.5,fourier_country_k2
AGO,1971,5,1971-02-01,1971-02-07,0.0166,,JHU,0.5,fourier_country_k2
AGO,1971,6,1971-02-08,1971-02-14,0.019,,JHU,0.5,fourier_country_k2
AGO,1971,7,1971-02-15,1971-02-21,0.022,,JHU,0.5,fourier_country_k2
AGO,1971,8,1971-02-22,1971-02-28,0.0252,,JHU,0.5,fourier_country_k2
AGO,1971,9,1971-03-01,1971-03-07,0.0287,,JHU,0.5,fourier_country_k2
AGO,1971,10,1971-03-08,1971-03-14,0.0323,,JHU,0.5,fourier_country_k2
AGO,1971,11,1971-03-15,1971-03-21,0.0358,,JHU,0.5,fourier_country_k2
AGO,1971,12,1971-03-22,1971-03-28,0.039,,JHU,0.5,fourier_country_k2
AGO,1971,13,1971-03-29,1971-04-04,0.0419,,JHU,0.5,fourier_country_k2
AGO,1971,14,1971-04-05,1971-04-11,0.0442,,JHU,0.5,fourier_country_k2
AGO,1971,15,1971-04-12,1971-04-18,0.0458,,JHU,0.5,fourier_country_k2
AGO,1971,16,1971-04-19,1971-04-25,0.0466,,JHU,0.5,fourier_country_k2
AGO,1971,17,1971-04-26,1971-05-02,0.0466,,JHU,0.5,fourier_country_k2
AGO,1971,18,1971-05-03,1971-05-09,0.0457,,JHU,0.5,fourier_country_k2
AGO,1971,19,1971-05-10,1971-05-16,0.0439,,JHU,0.5,fourier_country_k2
AGO,1971,20,1971-05-17,1971-05-23,0.0413,,JHU,0.5,fourier_country_k2
AGO,1971,21,1971-05-24,1971-05-30,0.038,,JHU,0.5,fourier_country_k2
AGO,1971,22,1971-05-31,1971-06-06,0.0342,,JHU,0.5,fourier_country_k2
AGO,1971,23,1971-06-07,1971-06-13,0.0298,,JHU,0.5,fourier_country_k2
AGO,1971,24,1971-06-14,1971-06-20,0.0253,,JHU,0.5,fourier_country_k2
AGO,1971,25,1971-06-21,1971-06-27,0.0206,,JHU,0.5,fourier_country_k2
AGO,1971,26,1971-06-28,1971-07-04,0.016,,JHU,0.5,fourier_country_k2
AGO,1971,27,1971-07-05,1971-07-11,0.0117,,JHU,0.5,fourier_country_k2
AGO,1971,28,1971-07-12,1971-07-18,0.0078,,JHU,0.5,fourier_country_k2
AGO,1971,29,1971-07-19,1971-07-25,0.0045,,JHU,0.5,fourier_country_k2
AGO,1971,30,1971-07-26,1971-08-01,0.0019,,JHU,0.5,fourier_country_k2
AGO,1971,31,1971-08-02,1971-08-08,0.0,,JHU,0.5,fourier_country_k2
AGO,1971,32,1971-08-09,1971-08-15,0.0,,JHU,0.5,fourier_country_k2
AGO,1971,33,1971-08-16,1971-08-22,0.0,,JHU,0.5,fourier_country_k2
AGO,1971,34,1971-08-23,1971-08-29,0.0,,JHU,0.5,fourier_country_k2
AGO,1971,35,1971-08-30,1971-09-05,0.0,,JHU,0.5,fourier_country_k2
AGO,1971,36,1971-09-06,1971-09-12,0.0008,,JHU,0.5,fourier_country_k2
AGO,1971,37,1971-09-13,1971-09-19,0.0026,,JHU,0.5,fourier_country_k2
AGO,1971,38,1971-09-20,1971-09-26,0.0046,,JHU,0.5,fourier_country_k2
AGO,1971,39,1971-09-27,1971-10-03,0.0067,,JHU,0.5,fourier_country_k2
AGO,1971,40,1971-10-04,1971-10-10,0.0087,,JHU,0.5,fourier_country_k2
AGO,1971,41,1971-10-11,1971-10-17,0.0106,,JHU,0.5,fourier_country_k2
AGO,1971,42,1971-10-18,1971-10-24,0.0122,,JHU,0.5,fourier_country_k2
AGO,1971,43,1971-10-25,1971-10-31,0.0135,,JHU,0.5,fourier_country_k2
AGO,1971,44,1971-11-01,1971-11-07,0.0144,,JHU,0.5,fourier_country_k2
