Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,PMC Namibia Cholera Outbreak Isolates 2006-2007,https://pmc.ncbi.nlm.nih.gov/articles/PMC2870929/,Peer-reviewed paper characterizing cholera outbreak isolates from Namibia Dec 2006 to Feb 2007 - provides case counts deaths and molecular characterization of V. cholerae O1 Inaba El Tor,2006-12-01 to 2007-02-28,Outbreak Report,Active,Level 1,Validated,WebSearch and WebFetch,English,Primary,WHO Annual Cholera Report 2006-2007,Systematic web search,AI
2,ReliefWeb Namibia Cholera 2013-2014 Outbreak Disaster Page,https://reliefweb.int/disaster/ep-2014-000025-nam,ReliefWeb disaster documentation for Namibia cholera outbreak Feb 2014 - total 546 cases and 19 deaths recorded since November 2013,2013-11-16 to 2014-03-31,Disaster Report,Active,Level 2,Validated,WebSearch,English,Secondary,UNICEF Cholera Report WHO Situation Report,Systematic web search,AI
3,ReliefWeb UNICEF Namibia Cholera Outbreak Report January 2014,https://reliefweb.int/report/namibia/unicef-namibia-cholera-outbreak-report-1-14-january-2014,UNICEF situation report for Namibia cholera outbreak as of 14 January 2014 - documents 287 cases and 10 deaths in Kunene region,2013-11-16 to 2014-01-14,Situation Report,Restricted,Level 2,Validated,WebSearch,English,Secondary,ReliefWeb Cholera Outbreak Disaster Page,Systematic web search,AI
4,ReliefWeb Namibia Cholera Kunene Region Map January 2014,https://reliefweb.int/map/namibia/namibia-cholera-outbreak-kunene-region-10-january-2014,ReliefWeb map showing Namibia cholera outbreak in Kunene region as of 10 January 2014 - 7 deaths and 138 cases CFR 5%,2013-11-16 to 2014-01-10,Map and Situation Report,Restricted,Level 2,Validated,WebSearch,English,Secondary,ReliefWeb Disaster Page,Systematic web search,AI
5,ReliefWeb Namibia Cholera Situation 12 January 2014,https://reliefweb.int/report/namibia/namibia-cholera-situation-12-january-2014,WHO situation report documenting Namibia cholera as of 12 January 2014 - confirms spread to four northern regions,2013-11-16 to 2014-01-12,Situation Report,Restricted,Level 2,Validated,WebSearch,English,Secondary,ReliefWeb Disaster Page,Systematic web search,AI
6,ReliefWeb Namibia Cholera Outbreak in North 2008,https://reliefweb.int/report/namibia/namibia-cholera-outbreak-north,ReliefWeb report on Namibia cholera outbreak in northern region 2008 - documents 72 suspected and 4 confirmed cholera cases in Engela Health District,2008-03-01 to 2008-04-30,Outbreak Report,Restricted,Level 2,Validated,WebSearch,English,Primary,Wikipedia 2008 Namibia Floods,Systematic web search,AI
7,ReliefWeb Cholera Outbreak Windhoek 2018,https://reliefweb.int/report/namibia/cholera-outbreak-windhoek,ReliefWeb report on Windhoek cholera outbreak 2018 - school-based cluster with 1 confirmed case 4 pupils affected,2018-01-25 to 2018-02-01,Outbreak Report,Active,Level 2,Validated,WebSearch,English,Primary,Namibian Sun News,Systematic web search,AI
8,ECDC Cholera Monthly Overview 2025,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,ECDC monthly cholera surveillance data confirming Namibia 22 cases January-March 2025 and 49 cases in 2026 to March 23,2025-01-01 to 2026-03-23,Surveillance Data,Active,Level 1,Validated,WebFetch,English,Primary,WHO Dashboard,Systematic web search,AI
9,The Namibian Newspaper - First Cholera Case 2025,https://www.namibian.com.na/health-ministry-confirms-first-cholera-case-in-namibia-in-10-years/,The Namibian news article confirming first cholera case in Namibia in 10 years - 55-year-old female patient detected 2 March 2025 in Opuwo Kunene region,2025-03-02 to 2025-03-13,News Report,Active,Level 3,Validated,WebFetch,English,Secondary,AllAfrica WHO AFRO,Systematic web search,AI
10,Xinhua Namibia Declares End to Cholera Malaria Outbreaks August 2025,https://english.news.cn/africa/20250814/df9174663dbf44be8df899234abd553f/c.html,Xinhua news confirming Namibia officially declared end of cholera outbreak in Opuwo District Kunene Region August 2025 - 18 suspected 9 confirmed 0 deaths,2025-06-19 to 2025-08-14,News Report,Active,Level 3,Validated,WebFetch,English,Secondary,Namibia Economist WHO AFRO,Systematic web search,AI
11,Xinhua Namibia Second Cholera Outbreak November 2025,https://english.news.cn/20251128/c08c366329364cec994eb2248a514f8a/c.html,Xinhua news confirming Namibia second cholera outbreak 2025 in Grootfontein Otjozondjupa region - 5 suspected 3 confirmed 0 deaths,2025-11-18 to 2025-11-28,News Report,Active,Level 3,Validated,WebFetch,English,Secondary,NAMPA New Era Live,Systematic web search,AI
12,New Era Live Grootfontein Cholera 22 Confirmed Cases,https://neweralive.na/grootfontein-grapples-with-cholera-22-confirmed-cases-more-suspected/,New Era Live report on Grootfontein cholera outbreak escalation - 22 confirmed cases from 83 samples tested 0 deaths in Otjozondjupa region,2025-11-18 to 2026-01-12,News Report,Active,Level 3,Validated,WebFetch,English,Secondary,The Namibian Otjozondjupa Health Directorate,Systematic web search,AI
13,Wikipedia 2008 Namibia Floods Cholera Data,https://en.wikipedia.org/wiki/2008_Namibia_floods,Wikipedia documentation of 2008 Namibia floods including cholera outbreak details - 958 cases and 4 deaths by April 16 2008 total 3496 cases 38 deaths year-end,2008-02-01 to 2008-12-31,Encyclopedic Source,Active,Level 3,Validated,WebFetch,English,Secondary,WHO Annual Report ReliefWeb,Systematic web search,AI
14,WHO AFRO Namibia Early Action Review for Cholera 2025,https://www.afro.who.int/countries/namibia/news/namibia-conducts-its-first-early-action-review-cholera,WHO AFRO news on Namibia conducting first Early Action Review for Cholera July 2025 - evaluation of response performance metrics for Opuwo outbreak,2025-06-19 to 2025-07-23,WHO Report,Active,Level 1,Validated,WebSearch,English,Primary,Ministry of Health WHO,Systematic web search,AI
15,AllAfrica Namibia WHO Cholera Validation Workshop March 2025,https://allafrica.com/stories/202503130047.html,AllAfrica report on Namibia cholera case confirmation March 2025 and reference to WHO validation workshop confirming decade-long absence 2015-2024,2025-03-02 to 2025-03-13,News Report,Restricted,Level 2,Validated,WebSearch,English,Secondary,WHO AFRO Health Ministry,Systematic web search,AI
