Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,Epidemic cholera among refugees in Malawi Africa - PubMed,https://pubmed.ncbi.nlm.nih.gov/9207730/,Academic paper on 1990 cholera outbreak among Mozambican refugees,1990,Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,WHO surveillance reports,Parallel_Search_Batch_1,AI
2,Fight against cholera outbreak efforts and challenges in Malawi - PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10551271/,Comprehensive review of cholera outbreaks in Malawi 1998-2023,1998-2023,Cases/Deaths/CFR,Validated,Level 1,Passed,WebSearch,English,0,Ministry of Health surveillance data,Parallel_Search_Batch_1,AI
3,Cholera outbreaks in Malawi in 1998-2012 - PubMed,https://pubmed.ncbi.nlm.nih.gov/24916870/,Academic analysis of social and cultural challenges in cholera prevention 1998-2012,1998-2012,Cases/Deaths/CFR,Validated,Level 1,Passed,WebSearch,English,0,Historical outbreak surveillance,Parallel_Search_Batch_1,AI
4,Feasibility and acceptability of oral cholera vaccine mass vaccination campaign in response to an outbreak and floods in Malawi - PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4907756/,2015 OCV campaign analysis with outbreak context,2015,Cases/Response,Validated,Level 1,Passed,WebSearch,English,0,UNICEF vaccination reports,Parallel_Search_Batch_1,AI
5,Cholera outbreak in districts around Lake Chilwa Malawi - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3588220/,2009-2010 outbreak analysis around Lake Chilwa,2009-2010,Cases/Geographic,Validated,Level 1,Passed,WebSearch,English,0,District health surveillance,Parallel_Search_Batch_1,AI
6,Feasibility and acceptability of oral cholera vaccine mass vaccination campaign in response to an outbreak and floods in Malawi - PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4907756/,2015 OCV campaign comprehensive analysis with detailed outbreak data,2015,Cases/Deaths/Response,Validated,Level 1,Passed,WebSearch,English,0,UNICEF WHO vaccination reports,Parallel_Search_Batch_2,AI
7,Cholera outbreak in districts around Lake Chilwa Malawi Lessons learned - PubMed,https://pubmed.ncbi.nlm.nih.gov/23638267/,Detailed district-level analysis of 2009-2010 Lake Chilwa outbreak,2009-2010,Cases/Deaths/Geographic,Validated,Level 1,Passed,WebSearch,English,0,District surveillance data,Parallel_Search_Batch_2,AI
8,Fight against cholera outbreak efforts and challenges in Malawi PMC10551271,https://pmc.ncbi.nlm.nih.gov/articles/PMC10551271/,Comprehensive review of endemic cholera patterns in Malawi since 1998,1998-2023,Endemic/Seasonal/Cases,Validated,Level 1,Passed,WebSearch,English,0,Ministry of Health surveillance,Parallel_Search_Batch_2,AI
9,UNICEF WHO cholera emergency response Malawi cases deaths intervention,https://www.unicef.org/malawi/press-releases/unicef-and-who-step-efforts-contain-cholera-malawi,UNICEF-WHO coordinated emergency response documentation,2022-2023,Response/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,UN agency coordination,Parallel_Search_Batch_2,AI
10,Malawi cholera WASH water sanitation hygiene outbreak transmission,https://reliefweb.int/report/malawi/unicef-and-who-step-efforts-contain-cholera-malawi-and-call-additional-funds-and-support,WASH-related cholera transmission and outbreak analysis,2022-2023,WASH/Transmission/Cases,Validated,Level 1,Passed,WebSearch,English,0,WASH sector reports,Parallel_Search_Batch_2,AI
11,Genomic Surveillance of Climate-Amplified Cholera Outbreak Malawi 2022-2023,https://wwwnc.cdc.gov/eid/article/31/6/24-0930_article,CDC genomic analysis with historical context including 1975 outbreak,1975-2023,Historical/Cases/Analysis,Validated,Level 1,Passed,WebSearch,English,0,CDC surveillance reports,Parallel_Search_Batch_3,AI
12,Cholera outbreaks in Malawi in 1998-2012 social and cultural challenges PubMed,https://pubmed.ncbi.nlm.nih.gov/24916870/,Comprehensive analysis of 2011-2012 outbreak with detailed case data,2011-2012,Cases/Deaths/CFR,Validated,Level 1,Passed,WebSearch,English,0,Ministry surveillance data,Parallel_Search_Batch_3,AI
13,Fight against cholera outbreak efforts and challenges in Malawi - PMC district data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10551271/,Detailed district-level breakdown of 2022-2023 outbreak cases and deaths,2022-2023,District/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,District health surveillance,Parallel_Search_Batch_3,AI
14,Malawi cholera prevention control cases deaths public health intervention,https://pubmed.ncbi.nlm.nih.gov/24916870/,Comprehensive prevention and control interventions analysis with case statistics,1998-2024,Prevention/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,Government health reports,Parallel_Search_Batch_3,AI
15,Characteristics of a cholera outbreak patterns Vibrio cholerae antibiotic susceptibility rural Malawi,https://pubmed.ncbi.nlm.nih.gov/11925988/,1999-2000 outbreak epidemiological analysis with attack rates and CFR,1999-2000,Cases/Deaths/CFR,Validated,Level 1,Passed,WebSearch,English,0,Academic epidemiology,Parallel_Search_Batch_3,AI
16,Cholera outbreak in districts around Lake Chilwa Malawi Lessons learned PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC3588220/,Comprehensive district-level analysis Lake Chilwa outbreak 2009-2010,2009-2010,District/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,District health surveillance,Agent_2_Batch_1,AI
17,Malawi Northern Region cholera outbreak Mzuzu Karonga Rumphi district cases surveillance,https://reliefweb.int/report/malawi/disease-outbreak-news-don-cholera-malawi-9-february-2023,Northern Region district breakdown for 2022-2023 outbreak,2022-2023,District/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,District surveillance reports,Agent_2_Batch_1,AI
18,Mangochi district cholera outbreak cases deaths Lake Malawi fishing communities,https://reliefweb.int/report/malawi/malawi-cholera-flash-appeal-2023-february-june-2023,Mangochi district detailed outbreak statistics and fishing community impact,2022-2023,District/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,District health reports,Agent_2_Batch_1,AI
19,Blantyre district cholera outbreak cases deaths district health office,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435,Blantyre district urban cholera outbreak detailed analysis,2022-2023,District/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,District health office,Agent_2_Batch_1,AI
20,Nkhotakota district cholera outbreak Central Region Lake Malawi shore,https://www.unicef.org/media/133776/file/Malawi-FlashUpdate-23-January-2023.pdf,Nkhotakota district lakshore cholera outbreak detailed data,2022-2023,District/Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,Central Region surveillance,Agent_2_Batch_1,AI
21,Cholera-free period validation 1976-1987 Malawi surveillance WHO academic,https://wwwnc.cdc.gov/eid/article/31/6/24-0930_article,"Validated absence period 1976-1987: First cholera 1973, major outbreak 1975 (22,427 cases), then no documented outbreaks until 1988 refugee camp outbreak",1976-1987,Zero-transmission validation,Validated,Level 1,Passed,WebSearch systematic validation,English,0,Multiple academic papers confirming gap,Agent_3_Batch_1-3,AI
22,Malawi cholera 2005 outbreak report Reuters,https://reliefweb.int/report/malawi/cholera-outbreak-malawi-kills-one,Reuters report on December 2005 cholera outbreak in lake districts,2005,Cases/Deaths,Validated,Level 2,Passed,WebSearch,English,0,News report,Agent_3_Batch_3,AI
23,Practical field epidemiology cholera outbreak Mozambican refugee camp Malawi 1988 PubMed,https://pubmed.ncbi.nlm.nih.gov/1995929/,Academic paper on 1988 cholera outbreak among Mozambican refugees in Mankhokwe camp,1988,Cases/Deaths/CFR,Validated,Level 1,Passed,WebSearch,English,0,Field epidemiology study,Enhanced_Agent_1_Batch_4,AI
24,WHO AFRO Malawi cholera surveillance 2024 Ministry Health,https://www.afro.who.int/countries/malawi/news/malawi-contains-cholera-outbreak,WHO AFRO surveillance report on 2024 cholera cases and containment,2024,Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,WHO official surveillance,Enhanced_Agent_1_Batch_4,AI
25,Field Evaluation Cholkit Rapid Diagnostic Test Malawi 2018 PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC7676503/,Academic study documenting 2018 cholera outbreak following floods in Nsanje and Chikwawa districts,2018,Cases/Deaths,Validated,Level 1,Passed,WebSearch,English,0,Academic field evaluation study,Enhanced_Agent_1_Batch_4,AI
26,Oral cholera vaccine campaign Malawi 2017-2018 outbreak,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996210/,Documentation of 2017-2018 cholera outbreak and OCV campaign response from Karonga initial case to multi-district spread,2017-2018,Cases/Deaths/CFR,Validated,Level 1,Passed,WebSearch,English,0,OCV implementation study,Agent_5_Academic_Deep_Dive,AI
