Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method,source_database
1,JHU Cholera Database (UID: 927),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection927.csv,JHU cholera database entry with 5 observations. Frequency: Other (99). Updated: 2024-02-09,2011-01-01 to 2012-04-05,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
2,JHU Cholera Database (UID: 940),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection940.csv,JHU cholera database entry with 4 observations. Frequency: Other (91). Updated: 2024-02-09,2011-01-01 to 2014-08-29,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
3,JHU Cholera Database (UID: 935),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection935.csv,JHU cholera database entry with 2 observations. Frequency: Other (90). Updated: 2024-02-09,2012-01-01 to 2012-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
4,JHU Cholera Database (UID: 937),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection937.csv,JHU cholera database entry with 1 observations. Frequency: Other (89). Updated: 2024-02-09,2013-01-01 to 2013-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
5,JHU Cholera Database (UID: 923),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection923.csv,JHU cholera database entry with 19 observations. Frequency: Other (74). Updated: 2024-04-24,2011-01-10 to 2011-03-31,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
6,JHU Cholera Database (UID: 945),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection945.csv,JHU cholera database entry with 5 observations. Frequency: Other (74). Updated: 2024-04-24,2014-07-01 to 2014-10-03,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
7,JHU Cholera Database (UID: 936),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection936.csv,JHU cholera database entry with 1 observations. Frequency: Other (7). Updated: 2024-02-09,2013-01-02 to 2013-01-09,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
8,JHU Cholera Database (UID: 21211),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection21211.csv,JHU cholera database entry with 37 observations. Frequency: Other (7). Updated: 2024-02-09,2016-10-17 to 2016-11-10,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
9,JHU Cholera Database (UID: 20555),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection20555.csv,JHU cholera database entry with 1 observations. Frequency: Other (65). Updated: 2024-02-09,2012-05-01 to 2012-07-05,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
10,JHU Cholera Database (UID: 10179),https://github.com/InstituteforDiseaseModeling/jhu_cholera_data/blob/main/data/Ghana/ObservationCollection10179.csv,JHU cholera database entry with 1 observations. Frequency: Other (50). Updated: 2024-02-09,2010-10-01 to 2010-11-20,Surveillance,Validated,Level 2,JHU_Integrated,Database_Import,English,Primary,JHU_Database,JHU_Integration,JHU
