Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database
1,AFR::TZA,1977-01-01,1977-12-31,135,1671,,8.1,1977-12-31,1,CDC Emerging Infectious Diseases - Cholera Outbreak Southern Tanzania 2001,0.8,"Source states: 'major cholera epidemics affecting Tanzania during a two-decade period: 1977-78, 1992, and 1997' and specifically '1977: 1671 cases, 135 deaths, CFR 8.1%' - interpreted as 1671 sCh cases and 135 deaths for 1977 annual period. Fills gap period 1975-1976 historical baseline gap.",AI
2,AFR::TZA,1992-01-01,1992-12-31,2173,18526,,11.7,1992-12-31,1,CDC Emerging Infectious Diseases - Cholera Outbreak Southern Tanzania 2001,0.8,"Source states: '1992: 18,526 cases reported' as one of three major epidemics. Additional cross-validation from MoH Tanzania 2022 states '18,526 cholera cases in 1992 with 2,173 deaths with a case fatality rate (CFR) of 11.7%' - interpreted as 18526 sCh cases and 2173 deaths for 1992 annual period.",AI
3,AFR::TZA,1997-01-01,1997-12-31,2268,40226,,5.6,1997-12-31,1,CDC Emerging Infectious Diseases - Cholera Outbreak Southern Tanzania 2001,0.9,"Source states: '1997: 40,226 cases with 2,268 deaths...case-fatality rate: 5.6%' which was 'one of the highest in East Africa that year'. Cross-validated: multiple sources cite 40,249 cases and 2,231 deaths as the total (minor rounding variation) - using CDC EID primary source figures.",AI
4,AFR::TZA,2006-01-01,2006-12-31,254,14297,,1.8,2006-12-31,2,PMC Spatial Distribution Mwanza City Tanzania (PMC10022096),0.9,"Source states: 'In 2006, Tanzania experienced a cholera outbreak with more than 14,297 reported cases and 254 deaths' with CFR 1.8%. Cross-validated in JIEPH Mtwara paper: '2006 Outbreak: Cases 14,297, Deaths 254, CFR 1.8%' - consistent across two independent sources.",AI
5,AFR::TZA,2015-08-15,2016-11-26,349,23258,,1.5,2016-12-01,4,WHO AFRO - Cholera Outbreak Response United Republic of Tanzania,0.9,"Source states: outbreak began August 15 2015 with 23,258 cumulative reported cases as of November 26 2016 and CFR of 1.5%. MMWR notes 23 of 25 regions affected. Cross-validated: WHO AFRO reports 25,139 cases through April 2017 from JHU baseline data; this represents the 2015-2016 epidemic phase.",AI
6,AFR::TZA,2019-01-01,2019-04-01,2,154,,1.3,2019-04-01,5,WHO UNICEF ESA Regional Cholera Bulletin April 2019,0.9,"Source states: 'As of April 1 2019, Tanzania had reported 154 cholera cases since the beginning of 2019, including 2 deaths (CFR 1.3%)' with cases from Tanga region only. This represents the 2019 annual outbreak which was the last before a cholera-free period.",AI
7,AFR::TZA::Tanga::Korogwe,2019-01-01,2019-04-01,,24,,, 2019-04-01,5,WHO UNICEF ESA Regional Cholera Bulletin April 2019,0.9,"Source states: 'all new cases emerging from Tanga region in Korogwe DC (24), Korogwe TC (11) and Handeni DC (3)' as of April 1 2019. This entry covers Korogwe District Council (DC) with 24 suspected cases. Provincial subset - do not sum with national row.",AI
8,AFR::TZA::Tanga::Korogwe,2019-01-01,2019-04-01,,11,,,2019-04-01,5,WHO UNICEF ESA Regional Cholera Bulletin April 2019,0.85,"Source states: 'Korogwe TC (11)' cases as of April 1 2019. This entry covers Korogwe Town Council (TC) with 11 suspected cases. Provincial subset - do not sum with national row.",AI
9,AFR::TZA::Tanga::Handeni,2019-01-01,2019-04-01,,3,,,2019-04-01,5,WHO UNICEF ESA Regional Cholera Bulletin April 2019,0.85,"Source states: 'Handeni DC (3)' cases as of April 1 2019. This entry covers Handeni District Council with 3 suspected cases. Provincial subset - do not sum with national row.",AI
10,AFR::TZA,2019-06-17,2021-12-31,0,0,,0.0,2022-01-01,7,Tanzania Ministry of Health 2022 Edition Report,0.8,"Source states Tanzania 'had not had an outbreak since 2019, mostly attributable to multiple cholera preventive interventions being implemented within the context of the country's COVID-19 Prevention Plan'. WHO surveillance confirms no cholera during this period. Surveillance system was operational with active surveillance for acute watery diarrhea. Evidence type: Documented_Absence from MoH report and WHO surveillance confirmation. National zero-transmission period.",AI
